ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Glottolog_Name
Ache,Ache,,-25.5865,-56.4697,ache1246,,Aché
Anambe,Anambe,,-2.71119,-49.303,anam1249,,Anambé
Arawete,Arawete,,-4.90246,-52.5001,araw1273,,Araweté
AvaCanoeiro,AvaCanoeiro,,-13.6081,-48.1336,avac1239,,Avá-Canoeiro
Aweti,Aweti,,-12.381944,-53.391944,awet1244,,Awetí
Chiriguano,Chiriguano,,-20.42,-63.37,east2555,,Eastern Bolivian Guaraní
Emerillon,Emerillon,,3.23694,-52.3699,emer1243,,Teko
Guaja,Guaja,,-3.93574,-46.3683,guaj1256,,Guajá
GuaraniParaguaio,GuaraniParaguaio,,-25.60551,-57.08816,para1311,,Paraguayan Guaraní
Guarayu,Guarayu,,-15.8247,-61.6934,guar1292,,Guarayu
Kaapor,Kaapor,,-2.46455,-46.2204,urub1250,,Urubú-Kaapor
Kaiowa,Kaiowa,,-24.589,-54.6815,kaiw1246,,Kaiwá
Kamaiura,Kamaiura,,-12.2661,-53.4651,kama1373,,Kamayurá
Kayabi,Kayabi,,-11.2747,-55.5479,kaya1329,,Kayabí
Kokama,Kokama,,-4.5,-74.0,coca1259,,Cocama-Cocamilla
Mawe,Mawe,,-3.63897,-56.8749,sate1243,,Sateré-Mawé
Mbya,Mbya,,-26.0188,-52.711,mbya1239,,Mbyá Guaraní
Nandeva,Nandeva,,-25.6521,-55.051,chir1286,,Chiripá
Omagua,Omagua,,-3.526,-69.1667,omag1248,,Omagua
Parakana,Parakana,,-4.64681,-50.0621,para1312,,Parakanã
Parintintin,Parintintin,,,,tupi1280,,Tupi-Guarani Subgroup VI
Pauserna,Pauserna,,-12.8553,-63.1903,paus1244,,Warázu
Siriono,Siriono,,-15.5298,-63.9688,siri1273,,Sirionó
Tapiete,Tapiete,,-21.4169,-62.684,tapi1253,,Tapieté
Tapirape,Tapirape,,-10.5373,-50.5438,tapi1254,,Tapirapé
Tembe,Tembe,,-2.6123,-48.2359,temb1276,,Tenetehara
Tocantins,Tocantins,,-3.59359,-49.8991,toca1235,,Tocantins Asurini
Tupinamba,Tupinamba,,-22.807778,-42.106389,tupi1273,,Tupinambá
Wayampi,Wayampi,,1.73817,-52.6887,waya1270,,Wayampi
Xeta,Xeta,,-24.9408,-52.2266,xeta1241,,Xetá
Xingu,Xingu,,-4.13463,-52.321,xing1248,,Xingú Asuriní
Yuki,Yuki,,-16.7875,-64.9438,yuqu1240,,Yuqui
