ID,Name,Nexus_File,rooted,type,method,scaling,Source
summary,tg_0,summary.trees,true,summary,bayesian,change,Michael2015
posterior-1,tg_0,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-2,tg_1,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-3,tg_2,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-4,tg_3,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-5,tg_4,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-6,tg_5,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-7,tg_6,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-8,tg_7,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-9,tg_8,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-10,tg_9,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-11,tg_10,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-12,tg_11,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-13,tg_12,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-14,tg_13,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-15,tg_14,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-16,tg_15,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-17,tg_16,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-18,tg_17,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-19,tg_18,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-20,tg_19,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-21,tg_20,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-22,tg_21,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-23,tg_22,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-24,tg_23,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-25,tg_24,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-26,tg_25,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-27,tg_26,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-28,tg_27,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-29,tg_28,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-30,tg_29,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-31,tg_30,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-32,tg_31,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-33,tg_32,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-34,tg_33,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-35,tg_34,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-36,tg_35,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-37,tg_36,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-38,tg_37,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-39,tg_38,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-40,tg_39,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-41,tg_40,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-42,tg_41,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-43,tg_42,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-44,tg_43,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-45,tg_44,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-46,tg_45,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-47,tg_46,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-48,tg_47,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-49,tg_48,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-50,tg_49,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-51,tg_50,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-52,tg_51,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-53,tg_52,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-54,tg_53,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-55,tg_54,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-56,tg_55,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-57,tg_56,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-58,tg_57,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-59,tg_58,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-60,tg_59,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-61,tg_60,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-62,tg_61,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-63,tg_62,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-64,tg_63,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-65,tg_64,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-66,tg_65,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-67,tg_66,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-68,tg_67,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-69,tg_68,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-70,tg_69,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-71,tg_70,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-72,tg_71,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-73,tg_72,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-74,tg_73,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-75,tg_74,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-76,tg_75,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-77,tg_76,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-78,tg_77,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-79,tg_78,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-80,tg_79,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-81,tg_80,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-82,tg_81,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-83,tg_82,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-84,tg_83,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-85,tg_84,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-86,tg_85,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-87,tg_86,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-88,tg_87,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-89,tg_88,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-90,tg_89,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-91,tg_90,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-92,tg_91,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-93,tg_92,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-94,tg_93,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-95,tg_94,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-96,tg_95,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-97,tg_96,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-98,tg_97,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-99,tg_98,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-100,tg_99,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-101,tg_100,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-102,tg_101,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-103,tg_102,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-104,tg_103,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-105,tg_104,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-106,tg_105,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-107,tg_106,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-108,tg_107,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-109,tg_108,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-110,tg_109,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-111,tg_110,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-112,tg_111,posterior.trees,true,sample,bayesian,change,Michael2015
posterior-113,tg_112,posterior.trees,true,sample,bayesian,change,Michael2015
